year,sit,bhvr,id
2004,2004070701,BNF,42
2004,2004071401,BNF,42
2004,2004071401,BNF,59
2004,2004080301,BNF,30
2004,2004080401,MI-FE,106
2004,2004080401,MI-FE,114
2004,2004080501,BNF,11
2004,2004080501,BNF,28
2004,2004080601,BNF,93
2004,2004080801,TR,28
2004,2004080801,TR,16
2004,2004081001,TR,16
2004,2004081401,TR,24
2004,2004081502,TR,16
2004,2004081701,RE-TR,93
2004,2004081701,BNF,24
2004,2004081701,BNF,93
2004,2004081701,BNF,57
2004,2004081703,RE-TR,29
2004,2004081704,TR,106
2004,2004081802,BNF,11
2004,2004082001,TR,25
2004,2004082301,RE-TR,9
2004,2004082603,RE-TR,114
2004,2004082605,TR,165
2004,2004082605,RE-TR,165
2004,2004082605,RE-TR,108
2004,2004090201,TR,93
2004,2004090203,RE-TR,20
2004,2004090701,TR,62
2004,2004090701,TR,129
2004,2004090902,BNF,93
2004,2004090902,BNF,29
2004,2004090902,MI-FE,29
2004,2004090903,TR,93
2004,2004090903,TR,24
2004,2004090903,TR,20
2004,2004090904,BNF,59
2004,2004091402,BNF,118
2004,2004091402,BNF,93
2004,2004091502,BNF,58
2004,2004091502,BNF,57
2004,2004091502,BNF,29
2004,2004091504,TR,37
2004,2004091504,TR,43
2004,2004092401,BNF,42
2004,2004092401,BNF,16
2004,2004092501,MI-FE,42
2004,2004092501,MI-FE,16
2004,2004092801,TR,42
2004,2004092801,TR,81
2004,2004100701,SG,42
2004,2004100701,SG,59
2004,2004100701,SG,118
2004,2004101201,BNF,50
2004,2004101201,BNF,81
2004,2004101401,MI-FE-SG,37
2004,2004101401,MI-FE-SG,168
2004,2004101401,MI-FE-SG,119
2004,2004101401,MI-FE-SG,28
2004,2004101502,RE,119
2004,2004101801,TR,95
2004,2004102101,TR,95
2004,2004102301,TR,104
2004,2004102501,TR,50
2005,2005042001,TR,42
2005,2005060201,TR,9
2005,2005062702,TR,133
2005,2005062901,BNF,59
2005,2005062901,BNF,29
2005,2005063001,MI-FE,9
2005,2005071001,TR,133
2005,2005071002,TR,168
2005,2005071002,TR,114
2005,2005071201,TR,11
2005,2005071201,TR,59
2005,2005071301,TR,93
2005,2005071302,BNF,96
2005,2005071302,BNF,11
2005,2005071303,TR,24
2005,2005071304,BNF,59
2005,2005071501,TR,59
2005,2005071502,TR,30
2005,2005071901,BNF,45
2005,2005071901,BNF,28
2005,2005072001,TR,24
2005,2005072101,TR,20
2005,2005072301,BNF,99
2005,2005072301,BNF,30
2005,2005072701,TR,56
2005,2005072902,BNF,59
2005,2005072902,BNF,11
2005,2005080201,BNF,59
2005,2005080201,BNF,11
2005,2005080203,TR,56
2005,2005080205,MI-FE,24
2005,2005080301,TR,172
2005,2005080301,TR,44
2005,2005080601,BNF,93
2005,2005081101,BNF,103
2005,2005081101,BNF,104
2005,2005081101,BNF,118
2005,2005081101,BNF,42
2005,2005081101,BNF,59
2005,2005081701,TR,114
2005,2005081702,TR,28
2005,2005081703,BNF,42
2005,2005081703,BNF,104
2005,2005081703,BNF,103
2005,2005082301,MI-FE,99
2005,2005082301,MI-FE,28
2005,2005082301,MI-FE,9
2005,2005082301,MI-FE,104
2005,2005083001,TR,45
2005,2005083002,TR,30
2005,2005083101,LF,28
2005,2005083102,LF,56
2005,2005090101,TR,104
2005,2005090102,TR,168
2005,2005090102,TR,45
2005,2005090201,TR,28
2005,2005090203,TR,116
2005,2005090301,TR,9
2005,2005090302,TR,116
2005,2005090503,MI-FE,165
2005,2005090504,TR,28
2005,2005090601,RE-TR,99
2005,2005090601,RE-TR,30
2005,2005090601,RE-TR,165
