date_time,loudness,recording_device,is_cough,prediction_score
2021-05-30T16:41:52Z,61.451432818418176,"{'is_input_device': True, 'device_name': 'Armor X5', 'is_output_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'is_build_in_device': False}",FALSE,1.631435407034587e-5
2021-05-30T16:42:00Z,63.06743500605461,"{'is_output_device': False, 'device_name': 'Armor X5', 'is_input_device': True, 'is_build_in_device': False, 'device_type': 'TYPE_WIRED_HEADSET'}",FALSE,1.2287558638490736e-4
2021-05-30T16:42:01Z,60.36593318081707,"{'is_output_device': False, 'is_build_in_device': False, 'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET', 'device_name': 'Armor X5'}",FALSE,7.971381419338286e-4
2021-05-30T16:42:03Z,61.229038946113235,"{'is_build_in_device': False, 'is_input_device': True, 'is_output_device': False, 'device_name': 'Armor X5', 'device_type': 'TYPE_WIRED_HEADSET'}",FALSE,2.629703958518803e-4
2021-05-30T16:42:05Z,70.68049910008268,"{'is_output_device': False, 'device_name': 'Armor X5', 'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET', 'is_build_in_device': False}",FALSE,4.3487828224897385e-4
2021-05-30T16:42:07Z,62.16179663526855,"{'device_name': 'Armor X5', 'device_type': 'TYPE_WIRED_HEADSET', 'is_input_device': True, 'is_output_device': False, 'is_build_in_device': False}",FALSE,3.301728575024754e-4
2021-05-30T16:42:15Z,65.1827843578529,"{'device_name': 'Armor X5', 'is_output_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'is_build_in_device': False, 'is_input_device': True}",FALSE,0.0575147308409214
2021-05-30T16:42:16Z,62.05506863542538,"{'device_type': 'TYPE_WIRED_HEADSET', 'is_output_device': False, 'is_build_in_device': False, 'is_input_device': True, 'device_name': 'Armor X5'}",FALSE,0.05149991437792778
2021-05-30T16:42:18Z,65.33317164226011,"{'is_build_in_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'is_input_device': True, 'is_output_device': False, 'device_name': 'Armor X5'}",FALSE,0.014210784807801247
2021-05-30T16:42:26Z,73.6121597335858,"{'is_build_in_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'is_output_device': False, 'device_name': 'Armor X5', 'is_input_device': True}",FALSE,7.51473824493587e-4
2021-05-30T16:42:53Z,66.51391419847316,"{'is_input_device': True, 'device_name': 'Armor X5', 'is_build_in_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'is_output_device': False}",FALSE,0.04204026982188225
2021-05-30T16:43:14Z,71.42485638555853,"{'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET', 'device_name': 'Armor X5', 'is_output_device': False, 'is_build_in_device': False}",FALSE,0.429849773645401
2021-05-30T16:43:14Z,72.97251749551383,"{'is_output_device': False, 'device_name': 'Armor X5', 'device_type': 'TYPE_WIRED_HEADSET', 'is_build_in_device': False, 'is_input_device': True}",FALSE,0.7666369080543518
2021-05-30T16:43:15Z,69.64608387505929,"{'device_name': 'Armor X5', 'is_build_in_device': False, 'is_output_device': False, 'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET'}",TRUE,0.9900369644165039
2021-05-30T16:43:16Z,72.64014107047603,"{'is_output_device': False, 'device_type': 'TYPE_WIRED_HEADSET', 'device_name': 'Armor X5', 'is_build_in_device': False, 'is_input_device': True}",FALSE,0.5304287672042847
2021-05-30T16:43:26Z,60.65059968227915,"{'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET', 'device_name': 'Armor X5', 'is_build_in_device': False, 'is_output_device': False}",FALSE,0.0414743535220623
2021-05-30T16:43:27Z,62.58031625514097,"{'device_type': 'TYPE_WIRED_HEADSET', 'is_output_device': False, 'is_input_device': True, 'is_build_in_device': False, 'device_name': 'Armor X5'}",FALSE,0.027579475194215775
2021-05-30T16:43:31Z,70.52208753709768,"{'device_name': 'Armor X5', 'is_output_device': False, 'is_build_in_device': False, 'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET'}",FALSE,1.0502559598535299e-4
2021-05-30T16:43:33Z,60.94157261072649,"{'is_input_device': True, 'is_build_in_device': False, 'device_name': 'Armor X5', 'is_output_device': False, 'device_type': 'TYPE_WIRED_HEADSET'}",FALSE,1.3736304026679136e-5
2021-05-30T16:43:49Z,60.2337352035582,"{'is_input_device': True, 'device_type': 'TYPE_WIRED_HEADSET', 'is_build_in_device': False, 'device_name': 'Armor X5', 'is_output_device': False}",FALSE,0.01127648912370205
2021-05-30T16:44:00Z,74.96513383466822,"{'is_build_in_device': False, 'is_input_device': True, 'is_output_device': False, 'device_name': 'Armor X5', 'device_type': 'TYPE_WIRED_HEADSET'}",FALSE,9.590394256520085e-6
2021-05-30T16:44:06Z,66.09980300984608,"{'device_type': 'TYPE_WIRED_HEADSET', 'is_input_device': True, 'device_name': 'Armor X5', 'is_output_device': False, 'is_build_in_device': False}",FALSE,3.577685565687716e-4
