id,species,behavior,prey.volume,prey.depth,dive.time,surface.time,blow.interval,blow.number
20150817416,HW,OTHER,NA,NA,NaN,235,31.983,8
20150817417,HW,OTHER,7.125926489,97.34,NaN,182,16,13
20150817418,HW,OTHER,6.840125157,105.97,299,147,15.111,10
20150818402,HW,OTHER,1.804593427,86.01,489,NaN,19,NaN
20150818403,FW,OTHER,1.868782237,92.08,444.5,77,21.375,4
20150819402,HW,OTHER,6.209717559,105.17,94,63,37,3
20150819403,HW,OTHER,4.831766968,84.86,268,159,36.867,7
20150819406,HW,OTHER,NA,NA,NaN,178,46.357,5
20150819407,HW,FEED,6.931605976,139.14,163,9,NaN,1
20150819408,HW,OTHER,NA,NA,NaN,NaN,41.222,NaN
20150819410,HW,OTHER,NA,NA,90,86,28.375,6
20150819411,HW,OTHER,6.436680196,125.06,168,NaN,34.059,NaN
20150819413,HW,OTHER,3.960253013,131.29,190,89,26.667,4
20150820411,HW,OTHER,NA,NA,311,41,16,4
20150820414,HW,FEED,5.811093986,89.83,211,148,27.643,5
20150823402,FW,FEED,5.77381525,115.92,339,97,26.65,4.5
20150829503,FW,OTHER,-0.652773286,NA,291,35.5,14.375,3.333
20150831501,HW,OTHER,-0.248717802,NA,NaN,139,21,7
20150831504,HW,OTHER,4.60329543,163.74,173,NaN,67,NaN
20150831505,HW,FEED,4.276425812,161.9,421,NaN,19.857,NaN
20150831507,HW,OTHER,5.69936607,169.97,419,160,21,NaN
20150902501,HW,OTHER,0.939264795,NA,NaN,NaN,39.5,NaN
20150902503,HW,FEED,-1,NA,115,132,NaN,1
20150902506,HW,OTHER,-1,NA,401,NaN,21.143,9
20150902507,HW,FEED,6.422051932,19.01,192,34,13,3
20150902509,HW,FEED,7.692453948,135.06,NaN,190,16.191,10
20150902510,HW,FEED,8.070069583,135.65,NaN,132,11.889,12
20150902511,HW,FEED,7.416648617,121.55,NaN,231,NaN,NaN
20150902512,HW,FEED,7.512667188,120.06,196.5,NaN,NaN,NaN
20150902513,HW,FEED,6.854595296,112.75,516.667,162.667,17.233,10
20150902514,HW,FEED,7.322583813,125.18,NaN,122,NaN,NaN
20150903502,HW,FEED,4.23392243,134.41,476,179,17.846,12
20150904501,HW,FEED,5.424909929,103.57,139,66.25,19.7,3.5
20150904505,HW,FEED,7.197270071,86.4,376.5,110.75,15.478,7.75
20150905501,HW,FEED,NA,NA,NaN,67,43.5,1
20150905508,HW,OTHER,2.595060658,37.52,151,84,27,4
20150905511,HW,OTHER,1.780057939,125.63,253,105.5,31.333,4
20150908512,HW,FEED,7.417700515,104.96,NaN,196,21.111,10
20150910502,HW,FEED,-1,NA,183,160,25,6.5
20150911503,FW,FEED,6.654978081,131.13,422.667,105.667,18.37,7
20150912507,HW,FEED,6.298244955,118.59,303,138,15,11
20150912510,HW,OTHER,NA,NA,176,NaN,17,2
20150912513,HW,OTHER,4.252320773,112.72,NaN,154,20.857,8
20150913502,HW,OTHER,2.104134154,107.28,260,168,23.429,5
20150913503,HW,FEED,7.026334264,142.97,433.375,101,25.548,6
20150913504,HW,OTHER,5.342901077,121.1,NaN,136,32.4,4
20150913505,HW,FEED,3.971150036,116.64,113.166,46.5,17.053,3.5
20150914501,HW,FEED,6.528043148,91.68,341,112.333,17.889,7
20150914508,HW,OTHER,0.652481424,NA,501,159,34.125,5.5
20150914509,HW,OTHER,4.85803408,57.78,235,121.5,26.556,5.5
20150914511,HW,FEED,4.783335618,165.91,397.5,221.5,18.375,13
20150915502,HW,FEED,5.512521076,27.28,220,109.5,17.273,7.5
20150915507,FW,FEED,5.441055745,100.32,355,134.5,14.278,10
20150919502,HW,OTHER,-1,NA,60,322.5,28.733,12
20150920509,HW,OTHER,4.658406641,75.3,144,19,14,2
